convert_TF,attribution_survey,attribution_technical,tier
FALSE,facebook,facebook,8
FALSE,facebook,facebook,8
FALSE,facebook,facebook,1
FALSE,facebook,facebook,1
TRUE,facebook,facebook,6
FALSE,facebook,facebook,1
TRUE,facebook,search,2
TRUE,facebook,facebook,7
FALSE,tv,search,8
FALSE,facebook,facebook,1
FALSE,facebook,facebook,6
FALSE,facebook,facebook,8
FALSE,facebook,facebook,5
FALSE,facebook,facebook,8
TRUE,facebook,facebook,4
TRUE,tv,search,5
TRUE,facebook,search,6
TRUE,youtube,search,8
TRUE,facebook,facebook,3
FALSE,facebook,display,6
FALSE,facebook,facebook,1
FALSE,tv,search,1
TRUE,facebook,facebook,8
FALSE,facebook,facebook,3
TRUE,referral,search,7
FALSE,facebook,facebook,8
TRUE,affiliate,facebook,4
FALSE,facebook,facebook,4
TRUE,tv,search,2
TRUE,facebook,facebook,4
FALSE,other,facebook,1
TRUE,sirius xm,search,5
FALSE,facebook,display,5
TRUE,tv,facebook,3
FALSE,facebook,display,8
TRUE,public_radio,facebook,6
FALSE,facebook,facebook,1
TRUE,facebook,facebook,2
TRUE,facebook,facebook,2
TRUE,facebook,facebook,2
TRUE,facebook,search,3
FALSE,facebook,facebook,1
FALSE,facebook,facebook,4
TRUE,search,search,6
TRUE,facebook,facebook,1
TRUE,other,facebook,4
TRUE,search,search,4
TRUE,facebook,facebook,8
TRUE,facebook,facebook,8
FALSE,facebook,facebook,1
TRUE,facebook,facebook,6
TRUE,facebook,facebook,2
TRUE,facebook,facebook,8
TRUE,podcast,facebook,5
TRUE,public_radio,search,8
FALSE,facebook,facebook,4
TRUE,search,search,6
TRUE,facebook,facebook,2
FALSE,facebook,facebook,3
TRUE,podcast,search,4
TRUE,tv,search,6
TRUE,facebook,facebook,7
TRUE,referral,facebook,1
TRUE,youtube,search,8
FALSE,facebook,facebook,1
TRUE,search,search,3
TRUE,referral,facebook,8
FALSE,tv,search,2
FALSE,tv,search,1
TRUE,search,display,8
FALSE,facebook,facebook,6
FALSE,facebook,facebook,8
TRUE,public_radio,search,2
TRUE,referral,facebook,6
TRUE,facebook,search,4
FALSE,facebook,facebook,4
TRUE,facebook,facebook,5
FALSE,facebook,facebook,1
FALSE,facebook,facebook,8
FALSE,affiliate,facebook,7
TRUE,affiliate,facebook,2
FALSE,facebook,facebook,4
TRUE,facebook,facebook,6
TRUE,facebook,facebook,3
TRUE,social_organic,facebook,3
TRUE,facebook,facebook,7
TRUE,facebook,facebook,2
FALSE,social_organic,search,1
TRUE,referral,search,8
TRUE,facebook,facebook,8
FALSE,facebook,search,6
FALSE,facebook,facebook,2
TRUE,facebook,facebook,7
TRUE,facebook,facebook,6
TRUE,tv,facebook,7
TRUE,referral,facebook,5
TRUE,facebook,facebook,8
TRUE,referral,facebook,4
FALSE,facebook,facebook,4
FALSE,tv,display,8
FALSE,facebook,facebook,6
FALSE,facebook,facebook,5
FALSE,facebook,facebook,6
TRUE,sirius xm,facebook,5
TRUE,public_radio,search,2
FALSE,facebook,facebook,4
TRUE,facebook,facebook,5
TRUE,facebook,facebook,6
FALSE,tv,facebook,5
TRUE,referral,search,3
TRUE,facebook,facebook,5
FALSE,facebook,facebook,1
TRUE,facebook,facebook,8
FALSE,facebook,facebook,5
FALSE,facebook,facebook,1
FALSE,facebook,facebook,1
TRUE,facebook,search,7
FALSE,tv,facebook,1
FALSE,facebook,facebook,1
TRUE,facebook,facebook,7
TRUE,facebook,facebook,8
FALSE,facebook,youtube,6
FALSE,facebook,facebook,8
FALSE,facebook,facebook,4
FALSE,facebook,facebook,1
TRUE,facebook,facebook,6
FALSE,facebook,search,2
FALSE,facebook,facebook,4
TRUE,facebook,facebook,4
TRUE,referral,display,7
FALSE,facebook,facebook,1
TRUE,facebook,facebook,1
TRUE,referral,facebook,8
FALSE,facebook,facebook,2
TRUE,social_organic,facebook,3
TRUE,tv,facebook,3
TRUE,facebook,facebook,3
FALSE,search,search,7
FALSE,facebook,facebook,7
TRUE,other,facebook,6
TRUE,facebook,search,8
TRUE,search,search,3
FALSE,facebook,facebook,4
FALSE,facebook,facebook,7
TRUE,other,search,6
TRUE,facebook,facebook,3
FALSE,facebook,search,1
FALSE,facebook,facebook,3
TRUE,facebook,facebook,2
FALSE,facebook,facebook,7
TRUE,facebook,facebook,3
FALSE,facebook,facebook,3
TRUE,facebook,facebook,3
TRUE,facebook,facebook,8
FALSE,search,facebook,8
FALSE,facebook,facebook,7
TRUE,referral,facebook,5
FALSE,facebook,search,2
TRUE,facebook,facebook,6
TRUE,tv,facebook,3
FALSE,facebook,search,8
FALSE,tv,facebook,1
TRUE,tv,facebook,6
FALSE,facebook,facebook,5
FALSE,facebook,facebook,6
FALSE,facebook,facebook,1
TRUE,facebook,facebook,4
TRUE,search,facebook,6
TRUE,facebook,facebook,1
TRUE,facebook,search,3
FALSE,facebook,facebook,6
TRUE,youtube,youtube,6
TRUE,tv,facebook,2
FALSE,facebook,search,8
FALSE,tv,search,6
FALSE,facebook,facebook,5
FALSE,facebook,facebook,6
TRUE,social_organic,facebook,2
FALSE,tv,facebook,3
TRUE,facebook,facebook,8
TRUE,facebook,facebook,4
TRUE,facebook,facebook,5
FALSE,facebook,search,2
TRUE,social_organic,facebook,4
FALSE,facebook,search,2
TRUE,facebook,facebook,2
TRUE,facebook,facebook,3
TRUE,facebook,facebook,5
TRUE,search,search,5
TRUE,facebook,search,1
TRUE,facebook,facebook,8
FALSE,facebook,facebook,3
TRUE,facebook,facebook,3
TRUE,facebook,facebook,7
FALSE,facebook,facebook,1
FALSE,facebook,search,3
TRUE,facebook,facebook,4
FALSE,facebook,facebook,3
TRUE,facebook,facebook,5
FALSE,facebook,facebook,7
TRUE,ott,search,8
TRUE,facebook,facebook,6
TRUE,youtube,search,3
FALSE,facebook,facebook,1
FALSE,social_organic,facebook,3
TRUE,facebook,search,4
FALSE,facebook,facebook,8
TRUE,social_organic,facebook,8
TRUE,facebook,facebook,7
FALSE,social_organic,facebook,1
FALSE,facebook,facebook,5
TRUE,facebook,facebook,8
TRUE,facebook,facebook,5
FALSE,facebook,facebook,7
TRUE,facebook,search,4
FALSE,facebook,facebook,8
TRUE,facebook,facebook,8
FALSE,facebook,facebook,1
FALSE,facebook,facebook,1
TRUE,tv,facebook,3
FALSE,facebook,facebook,6
TRUE,facebook,facebook,6
FALSE,facebook,facebook,8
TRUE,tv,facebook,8
FALSE,tv,search,6
TRUE,facebook,search,4
FALSE,facebook,facebook,2
FALSE,facebook,facebook,3
TRUE,facebook,facebook,8
TRUE,facebook,facebook,4
TRUE,facebook,search,8
FALSE,facebook,facebook,1
TRUE,public_radio,facebook,3
TRUE,facebook,facebook,7
FALSE,facebook,search,1
FALSE,facebook,facebook,4
FALSE,facebook,facebook,1
FALSE,facebook,facebook,4
FALSE,tv,search,6
TRUE,tv,search,6
FALSE,facebook,facebook,6
TRUE,facebook,facebook,4
TRUE,facebook,facebook,3
FALSE,facebook,facebook,5
FALSE,facebook,search,5
FALSE,tv,search,8
TRUE,facebook,facebook,7
FALSE,tv,search,2
TRUE,facebook,search,4
FALSE,facebook,facebook,8
TRUE,search,bing,2
FALSE,facebook,facebook,1
FALSE,social_organic,facebook,1
TRUE,tv,search,7
TRUE,facebook,facebook,1
TRUE,referral,facebook,1
TRUE,facebook,search,2
TRUE,facebook,facebook,8
TRUE,facebook,facebook,3
TRUE,search,search,8
TRUE,facebook,facebook,4
FALSE,facebook,facebook,1
FALSE,facebook,search,6
FALSE,facebook,search,5
TRUE,facebook,search,6
FALSE,public_radio,facebook,8
FALSE,facebook,facebook,8
TRUE,facebook,facebook,3
TRUE,facebook,facebook,6
FALSE,facebook,facebook,4
TRUE,referral,youtube,5
FALSE,facebook,facebook,4
FALSE,facebook,search,7
FALSE,other,bing,8
TRUE,referral,search,8
TRUE,search,search,2
TRUE,public_radio,search,6
TRUE,tv,facebook,7
TRUE,search,display,8
TRUE,referral,facebook,7
TRUE,facebook,facebook,6
TRUE,facebook,facebook,6
FALSE,facebook,facebook,7
TRUE,facebook,facebook,8
FALSE,facebook,facebook,1
TRUE,facebook,search,5
TRUE,referral,search,3
TRUE,facebook,facebook,8
FALSE,facebook,facebook,4
TRUE,facebook,facebook,8
FALSE,public_radio,facebook,5
TRUE,facebook,facebook,7
TRUE,facebook,facebook,3
FALSE,facebook,facebook,1
FALSE,tv,facebook,2
FALSE,facebook,facebook,8
TRUE,facebook,facebook,5
TRUE,facebook,search,7
FALSE,facebook,facebook,8
TRUE,facebook,search,5
FALSE,facebook,facebook,5
TRUE,tv,facebook,6
FALSE,facebook,facebook,6
TRUE,referral,facebook,4
TRUE,facebook,facebook,8
FALSE,facebook,facebook,2
TRUE,pinterest,search,3
FALSE,facebook,facebook,1
TRUE,search,search,7
TRUE,facebook,facebook,2
TRUE,podcast,search,6
FALSE,facebook,facebook,1
FALSE,facebook,facebook,1
TRUE,other,facebook,4
FALSE,facebook,facebook,3
FALSE,tv,search,7
TRUE,facebook,facebook,4
TRUE,facebook,facebook,6
TRUE,facebook,facebook,6
FALSE,facebook,display,2
TRUE,facebook,search,1
TRUE,referral,search,6
FALSE,facebook,facebook,8
TRUE,facebook,facebook,3
FALSE,facebook,facebook,8
FALSE,facebook,facebook,1
TRUE,search,search,6
TRUE,other,facebook,3
TRUE,tv,search,6
FALSE,facebook,facebook,8
FALSE,facebook,facebook,1
TRUE,tv,facebook,5
TRUE,facebook,facebook,4
TRUE,facebook,facebook,5
TRUE,search,search,4
TRUE,facebook,facebook,7
FALSE,facebook,facebook,2
FALSE,facebook,facebook,3
TRUE,facebook,facebook,2
TRUE,facebook,facebook,6
FALSE,facebook,facebook,2
TRUE,facebook,facebook,4
TRUE,referral,search,8
TRUE,social_organic,facebook,2
TRUE,affiliate,facebook,3
TRUE,facebook,facebook,4
FALSE,facebook,facebook,8
TRUE,search,search,6
FALSE,facebook,facebook,5
TRUE,facebook,facebook,4
FALSE,facebook,facebook,4
TRUE,facebook,search,1
FALSE,tv,facebook,1
TRUE,facebook,facebook,6
FALSE,tv,search,5
TRUE,affiliate,facebook,4
TRUE,tv,search,8
TRUE,facebook,facebook,2
FALSE,facebook,facebook,2
TRUE,facebook,facebook,4
TRUE,referral,search,6
TRUE,facebook,facebook,8
TRUE,search,display,8
FALSE,facebook,facebook,1
TRUE,facebook,facebook,3
FALSE,facebook,facebook,4
FALSE,facebook,facebook,4
FALSE,facebook,facebook,4
FALSE,facebook,facebook,7
TRUE,search,search,6
FALSE,tv,facebook,1
TRUE,facebook,facebook,6
TRUE,social_organic,search,7
FALSE,tv,search,1
TRUE,facebook,facebook,1
TRUE,facebook,facebook,2
TRUE,facebook,facebook,1
FALSE,facebook,facebook,3
FALSE,facebook,facebook,1
TRUE,referral,facebook,1
FALSE,facebook,facebook,6
FALSE,facebook,search,7
TRUE,podcast,search,2
TRUE,search,facebook,5
FALSE,search,search,8
TRUE,facebook,facebook,7
TRUE,facebook,facebook,5
TRUE,facebook,facebook,3
TRUE,youtube,search,7
FALSE,search,search,1
FALSE,facebook,facebook,4
TRUE,referral,facebook,4
TRUE,tv,facebook,6
TRUE,facebook,facebook,4
TRUE,facebook,facebook,4
TRUE,tv,facebook,6
TRUE,facebook,facebook,4
TRUE,youtube,search,5
TRUE,facebook,facebook,2
FALSE,facebook,facebook,3
TRUE,other,facebook,4
TRUE,tv,facebook,5
FALSE,tv,facebook,1
FALSE,facebook,facebook,6
FALSE,facebook,facebook,1
TRUE,affiliate,display,8
FALSE,facebook,facebook,5
TRUE,facebook,facebook,5
TRUE,referral,facebook,7
TRUE,facebook,facebook,6
TRUE,facebook,facebook,8
FALSE,facebook,facebook,2
TRUE,facebook,facebook,4
TRUE,facebook,facebook,4
TRUE,other,facebook,1
TRUE,facebook,facebook,2
TRUE,facebook,facebook,4
TRUE,facebook,facebook,1
TRUE,facebook,facebook,3
TRUE,facebook,search,7
TRUE,referral,search,7
TRUE,facebook,search,8
FALSE,facebook,facebook,8
FALSE,facebook,facebook,6
TRUE,facebook,facebook,7
TRUE,ott,search,8
FALSE,facebook,facebook,1
FALSE,facebook,facebook,1
TRUE,facebook,facebook,4
TRUE,facebook,facebook,5
FALSE,facebook,facebook,7
TRUE,tv,facebook,4
TRUE,facebook,facebook,8
TRUE,facebook,facebook,2
TRUE,facebook,facebook,5
FALSE,facebook,facebook,8
FALSE,tv,search,8
TRUE,referral,search,2
FALSE,facebook,facebook,8
TRUE,public_radio,facebook,8
TRUE,facebook,facebook,7
FALSE,facebook,search,7
FALSE,facebook,facebook,3
TRUE,tv,search,6
FALSE,facebook,facebook,6
TRUE,facebook,facebook,3
TRUE,facebook,facebook,8
TRUE,facebook,facebook,3
FALSE,facebook,facebook,5
TRUE,referral,search,2
FALSE,facebook,facebook,6
TRUE,facebook,facebook,4
FALSE,facebook,facebook,1
FALSE,facebook,facebook,3
FALSE,facebook,facebook,6
FALSE,tv,search,6
TRUE,facebook,facebook,8
TRUE,tv,facebook,1
TRUE,facebook,facebook,7
TRUE,facebook,facebook,8
TRUE,other,search,6
TRUE,facebook,facebook,6
TRUE,facebook,search,6
TRUE,facebook,facebook,8
TRUE,facebook,facebook,8
TRUE,search,search,6
TRUE,search,facebook,5
TRUE,search,search,7
FALSE,facebook,facebook,1
TRUE,facebook,facebook,8
FALSE,facebook,facebook,6
TRUE,youtube,search,7
FALSE,facebook,search,2
TRUE,podcast,search,5
TRUE,facebook,search,5
TRUE,facebook,facebook,5
TRUE,facebook,facebook,6
FALSE,tv,search,4
TRUE,facebook,search,5
TRUE,facebook,facebook,7
FALSE,facebook,facebook,4
FALSE,facebook,facebook,3
FALSE,facebook,facebook,4
FALSE,facebook,facebook,8
FALSE,tv,facebook,1
TRUE,facebook,facebook,7
TRUE,search,search,7
TRUE,facebook,facebook,8
TRUE,social_organic,facebook,7
TRUE,referral,facebook,3
FALSE,facebook,facebook,6
TRUE,sirius xm,facebook,3
TRUE,search,search,6
TRUE,facebook,facebook,4
TRUE,public_radio,facebook,4
FALSE,tv,search,5
TRUE,facebook,facebook,4
TRUE,search,search,4
TRUE,public_radio,display,4
FALSE,facebook,facebook,2
FALSE,facebook,facebook,2
FALSE,facebook,facebook,4
FALSE,facebook,facebook,1
FALSE,facebook,facebook,4
FALSE,facebook,facebook,8
TRUE,facebook,facebook,8
FALSE,facebook,facebook,7
FALSE,facebook,facebook,5
TRUE,facebook,facebook,2
TRUE,youtube,youtube,5
TRUE,facebook,search,6
TRUE,facebook,facebook,5
FALSE,facebook,facebook,6
FALSE,facebook,facebook,1
FALSE,facebook,search,7
TRUE,search,search,4
FALSE,facebook,facebook,7
FALSE,referral,facebook,2
FALSE,facebook,facebook,8
FALSE,facebook,facebook,1
FALSE,facebook,facebook,4
FALSE,facebook,facebook,6
TRUE,facebook,facebook,8
TRUE,facebook,facebook,3
TRUE,social_organic,facebook,2
FALSE,facebook,facebook,7
TRUE,facebook,facebook,1
TRUE,facebook,facebook,6
TRUE,facebook,facebook,6
TRUE,facebook,facebook,4
FALSE,tv,facebook,5
FALSE,facebook,facebook,7
FALSE,facebook,bing,2
FALSE,pinterest,facebook,3
TRUE,referral,facebook,3
FALSE,facebook,facebook,7
TRUE,search,search,8
TRUE,pinterest,facebook,8
FALSE,facebook,facebook,2
TRUE,social_organic,search,1
TRUE,referral,bing,8
TRUE,other,youtube,5
TRUE,public_radio,display,3
FALSE,facebook,facebook,4
TRUE,referral,search,4
TRUE,facebook,facebook,8
TRUE,facebook,facebook,7
TRUE,facebook,facebook,6
FALSE,facebook,facebook,7
FALSE,facebook,facebook,7
TRUE,facebook,facebook,7
FALSE,tv,search,8
FALSE,facebook,facebook,2
TRUE,pinterest,search,5
TRUE,facebook,facebook,3
TRUE,tv,search,8
FALSE,facebook,facebook,3
TRUE,referral,facebook,2
TRUE,facebook,facebook,4
FALSE,facebook,facebook,1
FALSE,facebook,facebook,6
FALSE,facebook,facebook,4
TRUE,ott,facebook,5
TRUE,facebook,facebook,3
TRUE,facebook,facebook,6
TRUE,facebook,search,8
TRUE,podcast,facebook,2
FALSE,facebook,facebook,5
TRUE,facebook,facebook,5
FALSE,facebook,search,8
TRUE,public_radio,search,2
TRUE,tv,search,8
FALSE,facebook,facebook,4
TRUE,other,search,5
FALSE,facebook,facebook,8
FALSE,facebook,facebook,5
TRUE,youtube,search,5
TRUE,facebook,facebook,3
TRUE,facebook,facebook,7
TRUE,facebook,facebook,3
FALSE,facebook,search,8
FALSE,facebook,facebook,1
TRUE,facebook,facebook,8
FALSE,facebook,search,3
FALSE,facebook,facebook,8
FALSE,facebook,facebook,1
TRUE,tv,display,8
FALSE,search,search,7
TRUE,facebook,search,3
TRUE,facebook,facebook,6
TRUE,facebook,facebook,8
FALSE,tv,facebook,1
TRUE,facebook,facebook,2
FALSE,facebook,facebook,1
FALSE,youtube,search,6
TRUE,facebook,facebook,2
FALSE,facebook,facebook,4
TRUE,facebook,facebook,6
TRUE,facebook,search,4
TRUE,facebook,search,7
FALSE,facebook,facebook,5
TRUE,referral,facebook,6
FALSE,other,bing,5
FALSE,facebook,facebook,8
TRUE,facebook,facebook,8
FALSE,search,search,2
TRUE,referral,facebook,4
FALSE,tv,search,6
FALSE,facebook,facebook,3
TRUE,facebook,facebook,8
TRUE,facebook,facebook,6
TRUE,social_organic,facebook,2
TRUE,facebook,facebook,4
TRUE,facebook,facebook,8
FALSE,social_organic,facebook,4
FALSE,facebook,facebook,1
TRUE,facebook,facebook,5
TRUE,social_organic,facebook,8
TRUE,other,facebook,8
TRUE,facebook,facebook,6
FALSE,facebook,facebook,1
TRUE,podcast,facebook,5
FALSE,facebook,facebook,2
FALSE,facebook,search,8
FALSE,tv,facebook,8
FALSE,affiliate,facebook,1
TRUE,other,facebook,8
TRUE,facebook,facebook,6
FALSE,facebook,facebook,4
TRUE,other,search,8
FALSE,facebook,facebook,4
TRUE,facebook,facebook,4
TRUE,facebook,facebook,8
FALSE,tv,search,2
TRUE,facebook,facebook,7
TRUE,facebook,search,4
TRUE,referral,facebook,5
FALSE,tv,facebook,8
FALSE,youtube,search,6
TRUE,facebook,facebook,3
FALSE,facebook,facebook,4
TRUE,pinterest,search,2
FALSE,facebook,facebook,1
FALSE,tv,search,6
FALSE,social_organic,facebook,2
TRUE,search,facebook,1
FALSE,facebook,facebook,2
TRUE,other,search,5
FALSE,other,facebook,2
TRUE,facebook,facebook,4
FALSE,tv,search,1
TRUE,public_radio,search,6
FALSE,facebook,facebook,4
TRUE,public_radio,facebook,8
TRUE,facebook,facebook,7
TRUE,facebook,facebook,6
TRUE,pinterest,search,8
TRUE,other,facebook,4
TRUE,public_radio,facebook,2
TRUE,facebook,facebook,8
FALSE,facebook,facebook,1
FALSE,tv,search,6
TRUE,facebook,facebook,5
TRUE,referral,search,2
TRUE,facebook,facebook,4
FALSE,facebook,facebook,7
FALSE,facebook,facebook,1
TRUE,search,search,4
TRUE,facebook,facebook,6
FALSE,facebook,facebook,1
TRUE,tv,facebook,6
TRUE,facebook,facebook,6
FALSE,facebook,facebook,1
FALSE,facebook,facebook,4
TRUE,facebook,facebook,4
TRUE,public_radio,search,4
TRUE,facebook,facebook,2
TRUE,facebook,facebook,6
FALSE,tv,search,7
TRUE,referral,facebook,4
TRUE,facebook,facebook,4
FALSE,tv,facebook,6
TRUE,facebook,search,7
TRUE,facebook,facebook,8
TRUE,other,facebook,1
TRUE,tv,facebook,4
FALSE,facebook,search,7
TRUE,facebook,facebook,4
TRUE,facebook,facebook,2
TRUE,facebook,facebook,2
TRUE,facebook,facebook,7
TRUE,tv,search,7
TRUE,facebook,search,6
TRUE,facebook,facebook,5
TRUE,facebook,facebook,7
TRUE,facebook,facebook,6
TRUE,facebook,facebook,6
FALSE,tv,facebook,3
TRUE,tv,youtube,8
FALSE,facebook,facebook,8
TRUE,facebook,facebook,2
TRUE,facebook,facebook,1
FALSE,affiliate,facebook,6
FALSE,facebook,facebook,7
FALSE,social_organic,facebook,4
TRUE,facebook,search,7
TRUE,facebook,search,4
FALSE,facebook,facebook,4
FALSE,social_organic,facebook,1
FALSE,tv,search,6
FALSE,facebook,search,7
FALSE,facebook,facebook,8
FALSE,facebook,facebook,1
FALSE,facebook,facebook,1
TRUE,public_radio,facebook,7
TRUE,tv,search,6
TRUE,facebook,search,5
TRUE,facebook,facebook,7
FALSE,facebook,facebook,1
TRUE,facebook,facebook,8
TRUE,facebook,facebook,8
FALSE,facebook,facebook,1
FALSE,facebook,facebook,4
FALSE,tv,facebook,7
TRUE,facebook,facebook,2
TRUE,public_radio,display,5
TRUE,podcast,facebook,8
FALSE,affiliate,bing,5
TRUE,facebook,facebook,8
TRUE,referral,facebook,3
FALSE,tv,search,8
FALSE,facebook,facebook,8
TRUE,other,search,1
FALSE,facebook,facebook,1
FALSE,tv,facebook,1
TRUE,facebook,facebook,7
FALSE,facebook,facebook,2
FALSE,tv,search,6
TRUE,facebook,facebook,8
FALSE,facebook,facebook,1
TRUE,facebook,facebook,1
TRUE,tv,facebook,4
FALSE,tv,search,7
TRUE,facebook,facebook,7
FALSE,facebook,facebook,7
TRUE,facebook,search,8
TRUE,public_radio,bing,4
FALSE,tv,facebook,1
FALSE,facebook,facebook,4
TRUE,other,facebook,8
TRUE,facebook,facebook,6
TRUE,facebook,facebook,4
TRUE,referral,search,4
TRUE,social_organic,facebook,6
TRUE,facebook,facebook,3
FALSE,facebook,facebook,1
TRUE,tv,search,8
TRUE,other,facebook,2
FALSE,facebook,facebook,1
TRUE,facebook,facebook,7
TRUE,facebook,facebook,5
FALSE,facebook,facebook,3
TRUE,other,facebook,4
TRUE,facebook,search,3
FALSE,facebook,facebook,6
TRUE,public_radio,facebook,6
FALSE,facebook,facebook,4
FALSE,tv,facebook,8
TRUE,other,search,8
TRUE,facebook,facebook,3
FALSE,facebook,display,7
TRUE,search,search,6
FALSE,facebook,facebook,1
FALSE,facebook,facebook,1
TRUE,facebook,facebook,8
FALSE,public_radio,display,8
FALSE,facebook,facebook,1
TRUE,other,facebook,1
FALSE,facebook,facebook,5
TRUE,tv,search,6
TRUE,facebook,search,5
FALSE,facebook,facebook,6
TRUE,facebook,search,8
TRUE,facebook,facebook,4
TRUE,youtube,youtube,7
FALSE,facebook,facebook,7
TRUE,facebook,facebook,4
TRUE,facebook,search,7
FALSE,facebook,search,4
FALSE,facebook,facebook,8
FALSE,other,search,6
TRUE,youtube,youtube,8
TRUE,tv,search,7
FALSE,facebook,facebook,1
FALSE,facebook,bing,2
FALSE,tv,search,7
FALSE,public_radio,search,6
FALSE,facebook,facebook,3
TRUE,facebook,facebook,4
FALSE,facebook,facebook,1
FALSE,facebook,facebook,1
TRUE,facebook,facebook,3
FALSE,facebook,facebook,1
TRUE,facebook,facebook,7
TRUE,social_organic,search,5
TRUE,facebook,facebook,4
TRUE,facebook,facebook,8
TRUE,facebook,facebook,7
FALSE,tv,facebook,5
FALSE,facebook,search,5
TRUE,facebook,facebook,7
FALSE,tv,youtube,7
TRUE,facebook,search,5
TRUE,search,display,8
TRUE,facebook,facebook,2
FALSE,facebook,facebook,3
FALSE,facebook,facebook,1
TRUE,facebook,facebook,4
TRUE,sirius xm,facebook,2
FALSE,facebook,facebook,8
TRUE,other,search,7
FALSE,facebook,facebook,8
TRUE,facebook,facebook,7
TRUE,podcast,facebook,6
TRUE,facebook,facebook,7
FALSE,facebook,facebook,3
TRUE,podcast,facebook,8
TRUE,facebook,search,7
TRUE,public_radio,search,2
TRUE,facebook,facebook,4
FALSE,facebook,facebook,6
TRUE,facebook,facebook,1
FALSE,facebook,facebook,1
FALSE,pinterest,facebook,4
TRUE,facebook,search,4
FALSE,facebook,display,8
FALSE,facebook,search,1
TRUE,facebook,facebook,5
FALSE,referral,search,3
TRUE,referral,facebook,2
FALSE,facebook,facebook,8
FALSE,facebook,search,7
TRUE,referral,search,1
TRUE,tv,facebook,4
TRUE,facebook,search,7
TRUE,referral,facebook,2
TRUE,facebook,facebook,1
TRUE,facebook,facebook,8
FALSE,facebook,facebook,8
FALSE,facebook,facebook,2
TRUE,podcast,facebook,8
TRUE,facebook,facebook,4
FALSE,facebook,facebook,3
TRUE,facebook,facebook,6
TRUE,youtube,facebook,6
FALSE,facebook,facebook,7
FALSE,facebook,facebook,8
TRUE,facebook,search,7
FALSE,tv,search,8
FALSE,facebook,facebook,6
TRUE,search,search,8
FALSE,tv,facebook,8
TRUE,ott,facebook,8
TRUE,referral,facebook,8
TRUE,facebook,facebook,4
FALSE,facebook,facebook,8
FALSE,facebook,facebook,1
TRUE,referral,search,1
FALSE,facebook,facebook,4
FALSE,youtube,youtube,6
TRUE,youtube,facebook,1
FALSE,facebook,facebook,1
TRUE,search,facebook,7
FALSE,facebook,facebook,1
FALSE,facebook,facebook,2
TRUE,social_organic,facebook,5
